Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
162	162	162	64	41310	255	0	255	255	255	1239.093	5.944	0	8.033	3.333	7.481	1239.094	5.944	0	1224	0	0	22	17	0
525	525	525	112	133875	255	0	255	255	255	1338.642	24.806	0	15.236	6.753	14.760	1338.640	24.806	0	1332	0	0	15	53	0
317	317	317	66	80835	255	0	255	255	255	1201.473	17.208	0	10.235	3.280	10.641	1201.474	17.208	0	1189	7	0	28	22	0
45	45	45	20	11475	255	0	255	255	255	1181.067	11.956	0	3.428	0.689	3.529	1181.067	11.956	0	1178	8	0	8	9	0
116	116	116	34	29580	255	0	255	255	255	1169.310	30.759	0	5.718	1.256	5.835	1169.311	30.759	0	1164	24	0	12	15	0
52	52	52	21	13260	255	0	255	255	255	1241.365	29.577	0	3.628	0.231	3.654	1241.365	29.577	0	1238	26	0	8	8	0
143	143	143	38	36465	255	0	255	255	255	1369.231	34.427	0	6.380	1.291	6.687	1369.232	34.427	0	1363	27	0	13	16	0
33	33	33	17	8415	255	0	255	255	255	713.545	33.818	0	2.818	0.445	2.806	713.545	33.818	0	710	31	0	7	7	0
216	216	216	48	55080	255	0	255	255	255	1309.222	43.176	0	7.946	1.571	8.334	1309.223	43.176	0	1301	34	0	17	19	0
162	162	162	42	41310	255	0	255	255	255	1241.370	41.944	0	6.749	1.437	6.865	1241.372	41.944	0	1233	37	0	18	11	0
13	13	13	10	3315	255	0	255	255	255	660.692	41.231	0	1.592	0.553	1.752	660.692	41.231	0	659	40	0	5	4	0
45	45	45	20	11475	255	0	255	255	255	1172.044	43.956	0	3.406	0.644	3.219	1172.044	43.956	0	1169	40	0	8	8	0
34	34	34	19	8670	255	0	255	255	255	667.265	44.000	0	2.905	0.792	3.021	667.265	44.000	0	664	41	0	8	6	0
