Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
25661	25661	25661	10188	6543555	255	0	255	255	255	739.152	567.532	0	722.624	109.148	737.546	739.164	567.617	0	0	0	0	1471	1128	0
23	23	23	17	5865	255	0	255	255	255	769.435	356.826	0	2.283	0.846	2.571	769.435	356.826	0	766	355	0	7	5	0
52	52	52	21	13260	255	0	255	255	255	734.058	424.885	0	3.622	0.440	3.624	734.058	424.885	0	730	422	0	9	7	0
397	397	397	83	101235	255	0	255	255	255	755.055	445.718	0	11.450	3.264	11.620	755.057	445.718	0	743	437	0	28	24	0
198	198	198	52	50490	255	0	255	255	255	684.788	493.722	0	7.691	2.363	8.316	684.789	493.722	0	678	484	0	15	21	0
65	65	65	26	16575	255	0	255	255	255	714.385	490.892	0	4.243	1.059	4.001	714.385	490.892	0	710	486	0	9	11	0
119	119	119	32	30345	255	0	255	255	255	704.740	511.664	0	5.744	0.530	5.680	704.740	511.664	0	698	506	0	14	12	0
46	46	46	20	11730	255	0	255	255	255	637.500	512.804	0	3.372	0.325	3.416	637.500	512.804	0	634	510	0	8	7	0
360	360	360	71	91800	255	0	255	255	255	604.678	528.808	0	10.179	2.405	10.842	604.679	528.808	0	593	517	0	22	26	0
105	105	105	31	26775	255	0	255	255	255	579.486	542.429	0	5.331	0.405	5.453	579.486	542.429	0	574	537	0	12	11	0
30	30	30	17	7650	255	0	255	255	255	644.233	570.567	0	2.663	0.887	2.654	644.233	570.567	0	640	569	0	9	4	0
93	93	93	29	23715	255	0	255	255	255	97.108	582.538	0	4.988	0.329	4.935	97.108	582.538	0	92	578	0	11	10	0
90	90	90	39	22950	255	0	255	255	255	585.600	582.822	0	5.279	1.851	5.386	585.600	582.822	0	578	578	0	15	12	0
19	19	19	11	4845	255	0	255	255	255	581.842	592.842	0	2.063	0.212	2.164	581.842	592.842	0	580	591	0	5	5	0
66	66	66	25	16830	255	0	255	255	255	122.409	595.545	0	4.119	0.490	4.212	122.409	595.545	0	118	592	0	10	8	0
173	173	173	45	44115	255	0	255	255	255	552.896	601.850	0	7.134	1.813	7.714	552.896	601.850	0	545	594	0	17	16	0
118	118	118	36	30090	255	0	255	255	255	128.254	610.661	0	5.790	0.952	5.754	128.254	610.661	0	123	603	0	12	14	0
152	152	152	56	38760	255	0	255	255	255	506.724	614.178	0	6.871	2.443	6.705	506.724	614.177	0	499	605	0	15	19	0
23	23	23	13	5865	255	0	255	255	255	538.435	608.826	0	2.282	0.300	2.322	538.435	608.826	0	536	607	0	6	5	0
848	848	848	163	216240	255	0	255	255	255	550.716	636.131	0	16.316	7.031	16.688	550.717	636.130	0	523	621	0	54	33	0
164	164	164	46	41820	255	0	255	255	255	17.713	650.939	0	7.009	1.685	6.886	17.713	650.939	0	13	641	0	12	19	0
164	164	164	47	41820	255	0	255	255	255	139.909	648.652	0	6.944	1.729	7.261	139.909	648.652	0	131	641	0	18	15	0
11	11	11	9	2805	255	0	255	255	255	532.364	646.909	0	1.418	0.316	1.367	532.364	646.909	0	531	646	0	4	3	0
78	78	78	28	19890	255	0	255	255	255	35.744	674.795	0	4.540	0.413	4.488	35.744	674.795	0	31	670	0	10	10	0
189	189	189	43	48195	255	0	255	255	255	414.746	678.476	0	7.299	0.423	7.283	414.746	678.476	0	408	671	0	15	16	0
178	178	178	47	45390	255	0	255	255	255	441.567	685.006	0	7.258	2.027	7.416	441.568	685.006	0	436	675	0	13	20	0
40	40	40	20	10200	255	0	255	255	255	160.650	678.475	0	3.197	0.970	3.045	160.650	678.475	0	156	676	0	10	6	0
42	42	42	19	10710	255	0	255	255	255	508.762	681.905	0	3.219	0.569	3.158	508.762	681.905	0	505	678	0	8	9	0
26	26	26	15	6630	255	0	255	255	255	95.346	687.269	0	2.438	0.380	2.394	95.346	687.269	0	93	685	0	6	5	0
303	303	303	62	77265	255	0	255	255	255	155.152	697.185	0	9.575	2.522	9.849	155.152	697.185	0	142	688	0	25	21	0
31	31	31	16	7905	255	0	255	255	255	49.000	691.613	0	2.731	0.476	2.705	49.000	691.613	0	46	689	0	7	6	0
162	162	162	41	41310	255	0	255	255	255	105.704	695.284	0	6.724	0.624	6.810	105.704	695.284	0	99	689	0	15	13	0
10	10	10	8	2550	255	0	255	255	255	453.500	699.000	0	1.385	0.307	1.309	453.500	699.000	0	452	698	0	4	3	0
586	586	586	126	149430	255	0	255	255	255	474.713	712.647	0	13.079	5.721	12.699	474.714	712.646	0	454	701	0	43	26	0
54	54	54	24	13770	255	0	255	255	255	56.481	706.148	0	3.765	1.045	3.931	56.481	706.148	0	53	702	0	9	10	0
97	97	97	31	24735	255	0	255	255	255	381.773	709.948	0	5.097	0.448	5.110	381.773	709.948	0	377	705	0	11	11	0
17	17	17	11	4335	255	0	255	255	255	416.118	711.412	0	1.895	0.277	1.927	416.118	711.412	0	414	710	0	5	4	0
147	147	147	42	37485	255	0	255	255	255	444.864	717.374	0	6.493	1.641	6.879	444.864	717.374	0	437	711	0	17	14	0
117	117	117	33	29835	255	0	255	255	255	34.521	720.145	0	5.665	0.518	5.597	34.521	720.145	0	29	714	0	13	13	0
77	77	77	26	19635	255	0	255	255	255	370.403	718.987	0	4.499	0.306	4.536	370.403	718.987	0	366	715	0	10	10	0
280	280	280	68	71400	255	0	255	255	255	77.082	735.636	0	9.819	2.603	8.942	77.082	735.636	0	69	721	0	18	27	0
68	68	68	27	17340	255	0	255	255	255	50.721	742.353	0	4.313	1.088	4.301	50.721	742.353	0	45	738	0	12	10	0
104	104	104	32	26520	255	0	255	255	255	352.952	744.567	0	5.300	0.329	5.316	352.952	744.568	0	348	739	0	11	12	0
27	27	27	15	6885	255	0	255	255	255	397.407	744.074	0	2.475	0.309	2.507	397.407	744.074	0	395	742	0	6	5	0
123	123	123	33	31365	255	0	255	255	255	322.415	754.748	0	5.846	0.537	5.791	322.415	754.748	0	316	749	0	14	13	0
