rownum,X,X.1,Surface..pixel.2.,clustersize,name,Sample,Subsample,initial subsample sum,initial cells,initial sample sum,initial sample day,initial average sum,rounded initial cells average,final clustersize,final sum,final cells.1,final cells.2,final cells.3,final sum day,cluster percentage,Exp.growth.1,Exp.growth.2,Exp.growth.3,d4.1,d7.1,d9.1,d11.1,d14.1,d16.1,d18.1,d21.1,d25.1,d29.1,d31.1,d33.1,d4.2,d7.2,d9.2,d11.2,d14.2,d16.2,d18.2,d21.2,d25.2,d29.2,d31.2,d33.2,d4.3,d7.3,d9.3,d11.3,d14.3,d16.3,d18.3,d21.3,d25.3,d29.3,d31.3,d33.3,D.4.A,D.7.A,D.9.A,D.11.A,D.14.A,D.16.A,D.18.A,D.21.A,D.25.A,D.29.A,D.31.A,D.33.A,D.4.B,D.7.B,D.9.B,D.11.B,D.14.B,D.16.B,D.18.B,D.21.B,D.25.B,D.29.B,D.31.B,D.33.B,D.4.C,D.7.C,D.9.C,D.11.C,D.14.C,D.16.C,D.18.C,D.21.C,D.25.C,D.29.C,D.31.C,D.33.C,Sample2,SampleAbbrev,D.4.lm,D.7.lm,D.9.lm,D.11.lm,D.14.lm,D.16.lm,D.18.lm,D.21.lm,D.25.lm,D.29.lm,D.31.lm,D.33.lm,d4gm,d7gm,d9gm,d11gm,d14gm,d16gm,d18gm,d21gm,d25gm,d29gm,d31gm,rgm4,rgm7,rgm9,rgm11,rgm14,rgm16,rgm18,rgm21,rgm25,rgm29,rgm31,D.4.N,D.7.N,D.9.N,D.11.N,D.14.N,D.16.N,D.18.N,D.21.N,D.25.N,D.29.N,D.31.N
42677,1,1,130,1.3,Movie-6419-Image Export-242merge.txt,26B.1.4,1,2695,27,4842,4,1614,16,749.5535714,74955.35714,750,617,445,31,0.048237477,0.123119864,0.11589008,0.103786571,27,39.06380986,49.97066775,63.92278798,92.4839865,118.3060889,151.3378823,218.9568245,358.2940506,586.3010985,750,959.4046496,27,38.22566336,48.19654151,60.76824859,86.03357829,108.4747932,136.769631,193.633699,307.8241088,489.3553262,617,777.9398315,27,36.86256653,45.36630827,55.83175887,76.22599724,93.8103994,115.4513073,157.6233888,238.7351686,361.5864445,445,547.6560392,1.302411874,1.884339622,2.410458927,3.083474003,4.461194154,5.706787219,7.30015759,10.56192474,17.28320096,28.28168564,36.17810761,46.27925954,1.302411874,1.84390955,2.324879553,2.931306982,4.150042737,5.23255032,6.597421903,9.340401064,14.84865831,23.6052662,29.76252319,37.52585458,1.302411874,1.778157198,2.188356243,2.693183174,3.676949774,4.525176965,5.56907976,7.603354562,11.51598216,17.44201773,21.46567718,26.41754549,26B.1.4,1,5.578423006,11.54535065,15.52330241,19.50125417,25.46818182,29.44613358,33.42408534,39.39101299,47.34691651,55.30282004,59.2807718,63.25872356,1350.408683,5048.985286,2677.449165,9214.699074,33800.73094,28876.4554,44364.33462,21382.22597,50949.58796,49492.32735,50743.81331,0.208645172,0.208645172,-0.317161376,0.617967699,0.433227498,-0.078727928,0.214704651,-0.243291952,0.217069164,-0.007254754,0.012486025,0.651403075,2.435503107,1.29153392,4.444938329,16.30461975,13.92927348,21.40023562,10.31424629,24.57679567,23.87384993,24.47753518
42678,2,2,172,1.72,Movie-6419-Image Export-242merge.txt,26B.1.4,1,2695,27,4842,4,1614,16,749.5535714,74955.35714,750,617,445,31,0.063821892,0.123119864,0.11589008,0.103786571,27,39.06380986,49.97066775,63.92278798,92.4839865,118.3060889,151.3378823,218.9568245,358.2940506,586.3010985,750,959.4046496,27,38.22566336,48.19654151,60.76824859,86.03357829,108.4747932,136.769631,193.633699,307.8241088,489.3553262,617,777.9398315,27,36.86256653,45.36630827,55.83175887,76.22599724,93.8103994,115.4513073,157.6233888,238.7351686,361.5864445,445,547.6560392,1.723191095,2.493126269,3.18922258,4.079673296,5.902503035,7.550518475,9.658670042,13.97423889,22.86700434,37.41884562,47.86641929,61.23102031,1.723191095,2.439634174,3.075994486,3.878344623,5.490825776,6.923066578,8.728896672,12.3580691,19.64591714,31.23158297,39.37810761,49.64959221,1.723191095,2.352638754,2.895363644,3.563288506,4.864887394,5.987157216,7.368320914,10.05982296,15.23653024,23.07713115,28.40074212,34.9524448,26B.1.4,1,7.380682746,15.27538701,20.53852319,25.80165937,33.69636364,38.95949981,44.22263599,52.11734026,62.64361262,73.16988497,78.43302115,83.69615733,1350.408683,5048.985286,2677.449165,9214.699074,33800.73094,28876.4554,44364.33462,21382.22597,50949.58796,49492.32735,50743.81331,0.208645172,0.208645172,-0.317161376,0.617967699,0.433227498,-0.078727928,0.214704651,-0.243291952,0.217069164,-0.007254754,0.012486025,0.861856376,3.222357956,1.708798725,5.880995327,21.57226613,18.42950029,28.3141579,13.64654125,32.5169912,31.5869399,32.38566192
42679,3,3,127,1.27,Movie-6419-Image Export-242merge.txt,26B.1.4,1,2695,27,4842,4,1614,16,749.5535714,74955.35714,750,617,445,31,0.047124304,0.123119864,0.11589008,0.103786571,27,39.06380986,49.97066775,63.92278798,92.4839865,118.3060889,151.3378823,218.9568245,358.2940506,586.3010985,750,959.4046496,27,38.22566336,48.19654151,60.76824859,86.03357829,108.4747932,136.769631,193.633699,307.8241088,489.3553262,617,777.9398315,27,36.86256653,45.36630827,55.83175887,76.22599724,93.8103994,115.4513073,157.6233888,238.7351686,361.5864445,445,547.6560392,1.272356215,1.840854862,2.354832952,3.01231691,4.35824352,5.57509213,7.131692415,10.31818802,16.88435786,27.62903136,35.3432282,45.21127662,1.272356215,1.801357791,2.271228487,2.863661436,4.05427252,5.111799159,6.445173706,9.124853347,14.50599696,23.06052929,29.07569573,36.65987332,1.272356215,1.737122801,2.137855714,2.631032793,3.592097087,4.420749805,5.440562535,7.427892533,11.25022872,17.03950963,20.9703154,25.80790982,26B.1.4,1,5.449690167,11.27891948,15.16507236,19.05122523,24.88045455,28.76660742,32.6527603,38.48198961,46.25429536,54.02660111,57.91275399,61.79890686,1350.408683,5048.985286,2677.449165,9214.699074,33800.73094,28876.4554,44364.33462,21382.22597,50949.58796,49492.32735,50743.81331,0.208645172,0.208645172,-0.317161376,0.617967699,0.433227498,-0.078727928,0.214704651,-0.243291952,0.217069164,-0.007254754,0.012486025,0.636370697,2.379299189,1.261729291,4.342362829,15.92835929,13.60782871,20.90638403,10.07622523,24.00963885,23.32291493,23.91266898
42680,4,4,281,2.81,Movie-6419-Image Export-242merge.txt,26B.1.4,1,2695,27,4842,4,1614,16,749.5535714,74955.35714,750,617,445,31,0.104267161,0.123119864,0.11589008,0.103786571,27,39.06380986,49.97066775,63.92278798,92.4839865,118.3060889,151.3378823,218.9568245,358.2940506,586.3010985,750,959.4046496,27,38.22566336,48.19654151,60.76824859,86.03357829,108.4747932,136.769631,193.633699,307.8241088,489.3553262,617,777.9398315,27,36.86256653,45.36630827,55.83175887,76.22599724,93.8103994,115.4513073,157.6233888,238.7351686,361.5864445,445,547.6560392,2.815213358,4.073072568,5.21029968,6.665047652,9.643042749,12.33544007,15.77957141,22.83000656,37.35830361,61.13195127,78.20037106,100.0343995,2.815213358,3.985681412,5.025316573,6.336132785,8.970476994,11.31035877,14.26058119,20.18963615,32.09594603,51.02369078,64.33283859,81.11357798,2.815213358,3.843555174,4.730216186,5.821419014,7.947868358,9.781344056,12.0377801,16.43494332,24.89223836,37.70159217,46.39888683,57.10254063,26B.1.4,1,12.05797588,24.95571948,33.55421521,42.15271095,55.05045455,63.64895028,72.24744601,85.14518961,102.3421811,119.5391725,128.1376683,136.736164,1350.408683,5048.985286,2677.449165,9214.699074,33800.73094,28876.4554,44364.33462,21382.22597,50949.58796,49492.32735,50743.81331,0.208645172,0.208645172,-0.317161376,0.617967699,0.433227498,-0.078727928,0.214704651,-0.243291952,0.217069164,-0.007254754,0.012486025,1.408032801,5.264433638,2.791700242,9.607905157,35.24306269,30.10866037,46.25743238,22.29464007,53.12368911,51.60424484,52.90913373
42681,5,5,361,3.61,Movie-6419-Image Export-242merge.txt,26B.1.4,1,2695,27,4842,4,1614,16,749.5535714,74955.35714,750,617,445,31,0.133951763,0.123119864,0.11589008,0.103786571,27,39.06380986,49.97066775,63.92278798,92.4839865,118.3060889,151.3378823,218.9568245,358.2940506,586.3010985,750,959.4046496,27,38.22566336,48.19654151,60.76824859,86.03357829,108.4747932,136.769631,193.633699,307.8241088,489.3553262,617,777.9398315,27,36.86256653,45.36630827,55.83175887,76.22599724,93.8103994,115.4513073,157.6233888,238.7351686,361.5864445,445,547.6560392,3.616697588,5.232666182,6.69365902,8.562570116,12.388393,15.84730912,20.27197608,29.32965256,47.99411958,78.53606551,100.4638219,128.5139438,3.616697588,5.120394981,6.456011683,8.140014004,11.52434945,14.53038974,18.32053313,25.93757526,41.23358191,65.55000845,82.64823748,104.2064116,3.616697588,4.937805758,6.076896951,7.478762505,10.21060668,12.56606834,15.4649061,21.11393074,31.97899661,48.43514154,59.60853432,73.3594917,26B.1.4,1,15.49085158,32.06055065,43.1070167,54.15348275,70.72318182,81.76964787,92.81611391,109.385813,131.4787451,153.5716772,164.6181432,175.6646093,1350.408683,5048.985286,2677.449165,9214.699074,33800.73094,28876.4554,44364.33462,21382.22597,50949.58796,49492.32735,50743.81331,0.208645172,0.208645172,-0.317161376,0.617967699,0.433227498,-0.078727928,0.214704651,-0.243291952,0.217069164,-0.007254754,0.012486025,1.808896232,6.76320478,3.586490347,12.34325182,45.27667484,38.68052097,59.42680815,28.64186855,68.24787107,66.2958448,67.9722323
42682,6,6,119,1.19,Movie-6419-Image Export-242merge.txt,26B.1.4,1,2695,27,4842,4,1614,16,749.5535714,74955.35714,750,617,445,31,0.044155844,0.123119864,0.11589008,0.103786571,27,39.06380986,49.97066775,63.92278798,92.4839865,118.3060889,151.3378823,218.9568245,358.2940506,586.3010985,750,959.4046496,27,38.22566336,48.19654151,60.76824859,86.03357829,108.4747932,136.769631,193.633699,307.8241088,489.3553262,617,777.9398315,27,36.86256653,45.36630827,55.83175887,76.22599724,93.8103994,115.4513073,157.6233888,238.7351686,361.5864445,445,547.6560392,1.192207792,1.7248955,2.206497018,2.822564664,4.083708495,5.223905224,6.682451948,9.668223419,15.82077626,25.88861993,33.11688312,42.36332219,1.192207792,1.687886434,2.128158976,2.683273314,3.798885275,4.789796063,6.039178512,8.550059436,13.59223337,21.60789752,27.24415584,34.35058996,1.192207792,1.627697743,2.003187638,2.465298443,3.365823255,4.142277376,5.097849934,6.959993791,10.5415529,15.96615469,19.64935065,24.18221472,26B.1.4,1,5.106402597,10.56843636,14.20979221,17.85114805,23.31318182,26.95453766,30.59589351,36.05792727,43.34063896,50.62335065,54.26470649,57.90606234,1350.408683,5048.985286,2677.449165,9214.699074,33800.73094,28876.4554,44364.33462,21382.22597,50949.58796,49492.32735,50743.81331,0.208645172,0.208645172,-0.317161376,0.617967699,0.433227498,-0.078727928,0.214704651,-0.243291952,0.217069164,-0.007254754,0.012486025,0.596284353,2.229422074,1.182250281,4.068828162,14.92499808,12.75064265,19.58944645,9.441502376,22.49722066,21.85375493,22.40635912
42683,7,7,194,1.94,Movie-6419-Image Export-242merge.txt,26B.1.4,1,2695,27,4842,4,1614,16,749.5535714,74955.35714,750,617,445,31,0.071985158,0.123119864,0.11589008,0.103786571,27,39.06380986,49.97066775,63.92278798,92.4839865,118.3060889,151.3378823,218.9568245,358.2940506,586.3010985,750,959.4046496,27,38.22566336,48.19654151,60.76824859,86.03357829,108.4747932,136.769631,193.633699,307.8241088,489.3553262,617,777.9398315,27,36.86256653,45.36630827,55.83175887,76.22599724,93.8103994,115.4513073,157.6233888,238.7351686,361.5864445,445,547.6560392,1.943599258,2.812014513,3.597146398,4.601491973,6.657474353,8.516282466,10.89408133,15.76164154,25.79185374,42.20497704,53.98886827,69.062895,1.943599258,2.751680405,3.469435641,4.374411958,6.1931407,7.808575094,9.845383456,13.93875236,22.15876701,35.22632033,44.4148423,56.00012145,1.943599258,2.653557665,3.265700855,4.019057967,5.487140432,6.752956394,8.310780565,11.3465445,17.18538876,26.02885723,32.03339518,39.42310634,26B.1.4,1,8.324723562,17.22921558,23.1655436,29.10187161,38.00636364,43.94269165,49.87901967,58.78351169,70.65616772,82.52882375,88.46515176,94.40147978,1350.408683,5048.985286,2677.449165,9214.699074,33800.73094,28876.4554,44364.33462,21382.22597,50949.58796,49492.32735,50743.81331,0.208645172,0.208645172,-0.317161376,0.617967699,0.433227498,-0.078727928,0.214704651,-0.243291952,0.217069164,-0.007254754,0.012486025,0.97209382,3.634520021,1.927366004,6.63321566,24.33150947,20.78676196,31.93573624,15.39202908,36.67614124,35.62712989,36.52801403
42684,8,8,22,0.22,Movie-6419-Image Export-242merge.txt,26B.1.4,1,2695,27,4842,4,1614,16,749.5535714,74955.35714,750,617,445,31,0.008163265,0.123119864,0.11589008,0.103786571,27,39.06380986,49.97066775,63.92278798,92.4839865,118.3060889,151.3378823,218.9568245,358.2940506,586.3010985,750,959.4046496,27,38.22566336,48.19654151,60.76824859,86.03357829,108.4747932,136.769631,193.633699,307.8241088,489.3553262,617,777.9398315,27,36.86256653,45.36630827,55.83175887,76.22599724,93.8103994,115.4513073,157.6233888,238.7351686,361.5864445,445,547.6560392,0.220408163,0.318888244,0.407923818,0.521818677,0.754971318,0.965763991,1.235411284,1.787402649,2.924849393,4.786131416,6.12244898,7.831874691,0.220408163,0.312046232,0.393441155,0.496067335,0.702314925,0.885508516,1.116486784,1.580683257,2.512849867,3.994737357,5.036734694,6.350529237,0.220408163,0.30091891,0.37033721,0.45576946,0.622253039,0.765799179,0.942459652,1.286721541,1.948858519,2.951726077,3.632653061,4.470661544,26B.1.4,1,0.944040816,1.953828571,2.627020408,3.300212245,4.31,4.983191837,5.656383673,6.666171429,8.012555102,9.358938776,10.03213061,10.70532245,1350.408683,5048.985286,2677.449165,9214.699074,33800.73094,28876.4554,44364.33462,21382.22597,50949.58796,49492.32735,50743.81331,0.208645172,0.208645172,-0.317161376,0.617967699,0.433227498,-0.078727928,0.214704651,-0.243291952,0.217069164,-0.007254754,0.012486025,0.110237443,0.412162064,0.218567279,0.752220333,2.759243342,2.357261666,3.621578336,1.745487834,4.159150037,4.040189988,4.142352107
42685,9,9,11,0.11,Movie-6419-Image Export-242merge.txt,26B.1.4,1,2695,27,4842,4,1614,16,749.5535714,74955.35714,750,617,445,31,0.004081633,0.123119864,0.11589008,0.103786571,27,39.06380986,49.97066775,63.92278798,92.4839865,118.3060889,151.3378823,218.9568245,358.2940506,586.3010985,750,959.4046496,27,38.22566336,48.19654151,60.76824859,86.03357829,108.4747932,136.769631,193.633699,307.8241088,489.3553262,617,777.9398315,27,36.86256653,45.36630827,55.83175887,76.22599724,93.8103994,115.4513073,157.6233888,238.7351686,361.5864445,445,547.6560392,0.110204082,0.159444122,0.203961909,0.260909339,0.377485659,0.482881995,0.617705642,0.893701324,1.462424696,2.393065708,3.06122449,3.915937345,0.110204082,0.156023116,0.196720578,0.248033668,0.351157462,0.442754258,0.558243392,0.790341628,1.256424934,1.997368678,2.518367347,3.175264618,0.110204082,0.150459455,0.185168605,0.22788473,0.311126519,0.382899589,0.471229826,0.643360771,0.97442926,1.475863039,1.816326531,2.235330772,26B.1.4,1,0.472020408,0.976914286,1.313510204,1.650106122,2.155,2.491595918,2.828191837,3.333085714,4.006277551,4.679469388,5.016065306,5.352661224,1350.408683,5048.985286,2677.449165,9214.699074,33800.73094,28876.4554,44364.33462,21382.22597,50949.58796,49492.32735,50743.81331,0.208645172,0.208645172,-0.317161376,0.617967699,0.433227498,-0.078727928,0.214704651,-0.243291952,0.217069164,-0.007254754,0.012486025,0.055118722,0.206081032,0.109283639,0.376110166,1.379621671,1.178630833,1.810789168,0.872743917,2.079575019,2.020094994,2.071176053
42686,10,10,129,1.29,Movie-6419-Image Export-242merge.txt,26B.1.4,1,2695,27,4842,4,1614,16,749.5535714,74955.35714,750,617,445,31,0.047866419,0.123119864,0.11589008,0.103786571,27,39.06380986,49.97066775,63.92278798,92.4839865,118.3060889,151.3378823,218.9568245,358.2940506,586.3010985,750,959.4046496,27,38.22566336,48.19654151,60.76824859,86.03357829,108.4747932,136.769631,193.633699,307.8241088,489.3553262,617,777.9398315,27,36.86256653,45.36630827,55.83175887,76.22599724,93.8103994,115.4513073,157.6233888,238.7351686,361.5864445,445,547.6560392,1.292393321,1.869844702,2.391916935,3.059754972,4.426877276,5.662888856,7.244002532,10.48067917,17.15025326,28.06413421,35.89981447,45.92326523,1.292393321,1.82972563,2.306995865,2.908758467,4.118119332,5.192299933,6.546672504,9.268551825,14.73443786,23.42368723,29.53358071,37.23719416,1.292393321,1.764479066,2.171522733,2.67246638,3.648665545,4.490367912,5.526240685,7.544867219,11.42739768,17.30784836,21.30055659,26.2143336,26B.1.4,1,5.535512059,11.45654026,15.40389239,19.35124453,25.27227273,29.21962486,33.16697699,39.08800519,46.98270946,54.87741373,58.82476586,62.772118,1350.408683,5048.985286,2677.449165,9214.699074,33800.73094,28876.4554,44364.33462,21382.22597,50949.58796,49492.32735,50743.81331,0.208645172,0.208645172,-0.317161376,0.617967699,0.433227498,-0.078727928,0.214704651,-0.243291952,0.217069164,-0.007254754,0.012486025,0.646392282,2.416768467,1.281599044,4.410746495,16.1791996,13.82212522,21.23561843,10.23490594,24.3877434,23.69020493,24.28924644
